Statistical profiling result from isolate-0x103001400-v8.log, (6927120 ticks, 766593 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    193    0.0%    0.0%  LazyCompile: ~iterate /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/async/lib/async.js:257:25
    193    0.0%    0.0%  LazyCompile: *Sender.applyExtensions /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/Sender.js:275:44
    192    0.0%    0.0%  LazyCompile: *equalObjects /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:5789:26
    187    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:1691:15
    185    0.0%    0.0%  Stub: RecordWriteStub {11}
    182    0.0%    0.0%  LazyCompile: *checkDuplicate /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:269:24
    181    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:281:87
    180    0.0%    0.0%  LazyCompile: *<anonymous> fs.js:2224:45
    178    0.0%    0.0%  LazyCompile: ~ok assert.js:69:12
    177    0.0%    0.0%  Stub: RecordWriteStub {6}
    176    0.0%    0.0%  Stub: RecordWriteStub {10}
    176    0.0%    0.0%  LazyCompile: *onread net.js:589:16
    175    0.0%    0.0%  LazyCompile: ~next /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/async/lib/async.js:140:33
    175    0.0%    0.0%  LazyCompile: *Receiver.applyExtensions /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/Receiver.js:359:46
    174    0.0%    0.0%  Builtin: StringPrototypeReplace
    172    0.0%    0.0%  LazyCompile: *next /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/async/lib/async.js:140:33
    172    0.0%    0.0%  LazyCompile: *isEqual /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:11530:21
    167    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:291:11
    165    0.0%    0.0%  LazyCompile: *ifOk /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:1681:20
    165    0.0%    0.0%  LazyCompile: *findAndHandleJointsThatAreReady /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:2412:41
    164    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/object_length.js:21:27
    163    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/Receiver.js:463:38
    163    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/main_chain.js:133:12
    161    0.0%    0.0%  LazyCompile: *equalArrays /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:5633:25
    161    0.0%    0.0%  Builtin: TypedArrayPrototypeLength
    160    0.0%    0.0%  Stub: RecordWriteStub {9}
    155    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:1332:11
    150    0.0%    0.0%  LazyCompile: ~emitPendingUnhandledRejections internal/process/promises.js:100:42
    147    0.0%    0.0%  LazyCompile: ~ifNew /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/joint_storage.js:39:18
    147    0.0%    0.0%  LazyCompile: *wrapper fs.js:2194:19
    146    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:293:30
    145    0.0%    0.0%  LazyCompile: *notifyLocalWatchedAddressesAboutStableJoints /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:2252:54
    144    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:173:40
    141    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:432:11
    140    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:1293:11
    140    0.0%    0.0%  LazyCompile: *Readable.on _stream_readable.js:771:33
    138    0.0%    0.0%  Builtin: FunctionPrototypeApply
    137    0.0%    0.0%  LazyCompile: *send /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/WebSocket.js:211:41
    137    0.0%    0.0%  LazyCompile: *afterTransform _stream_transform.js:73:24
    137    0.0%    0.0%  LazyCompile: *QuickSort native array.js:573:19
    135    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:182:13
